OrderID	CustomerID	OrderDate	ShippedDate	CustomerName	Department	Region	OrderType	ProductCategory	SKU	Priority	Status	ShipMethod	Units	UnitCost	UnitPrice	DiscountRate	OrderTotal	AssignedRep
ORD-100036	CUST-10068	24.11.2025	27.11.2025	Vertex Enterprises	Marketing	West	Office Supplies	Services	SKU-V4501	High	Fulfilled	Ground	3	 $51.72 	 $67.24 	5%	 $191.63 	Taylor Smith
ORD-100037	CUST-10057	07.09.2025	13.09.2025	Silverline Systems	IT	Central	Hardware	Cleaning	SKU-B1821	Low	Fulfilled	Overnight	20	 $8.35 	 $12.11 	5%	 $230.09 	Blake Patel
ORD-100038	CUST-10055	15.04.2025	21.04.2025	Bright Logistics	Operations	East	Office Supplies	Paper & Printing	SKU-X4155	Medium	Fulfilled	Ground	2	 $19.47 	 $28.23 	0%	 $56.46 	Jordan Lee
ORD-100039	CUST-10152	28.07.2025	03.08.2025	Vertex Industries	Sales	East	Office Supplies	Software	SKU-J4450	Medium	Fulfilled	Overnight	20	 $19.04 	 $25.70 	0%	 $514.00 	Cameron Garcia
ORD-100040	CUST-10167	10.10.2024		Vertex Industries	Marketing	West	Services	Software	SKU-J4450	Medium	Approved	2-Day	3	 $19.04 	 $25.70 	0%	 $77.10 	Skyler Clark
ORD-100041	CUST-10174	17.02.2025		 Silverline Foundation  	HR	West	Software	Paper & Printing	SKU-E5333	Medium	Cancelled	Overnight	10	 $16.51 	 $23.94 	5%	 $227.43 	Blake Patel
ORD-100042	CUST-10149	01.02.2025		Evergreen Associates	Marketing	Central	Services	Services	SKU-V4501	Low	Approved	2-Day	12	 $51.72 	 $67.24 	15%	 $685.85 	Casey Brown
ORD-100043	CUST-10171	15.10.2025	23.10.2025	 Canyon Group  	IT	Central	Hardware	Software	SKU-Z4728	Low	Fulfilled	2-Day	1	 $40.94 	 $53.22 	0%	 $53.22 	Jamie Anderson
ORD-100044	CUST-10185	11.05.2024	15.05.2024	Cobalt Holdings	Procurement	East	Hardware	Services	SKU-R9698	Low	Delayed	Overnight	3	 $21.56 	 $31.26 	15%	 $79.71 	Morgan Brown
ORD-100045	CUST-10190	29.12.2024		Northstar Partners	Procurement	Central	Office Supplies	Cleaning	SKU-B1821	Low	Approved	Overnight	3	 $8.35 	 $12.11 	10%	 $32.70 	Reese Lee
ORD-100046	CUST-10120	19.04.2025	28.04.2025	Bright Industries	Finance	West	Software	Software	SKU-N8956	Medium	Delayed	Ground	1	 $8.22 	 $11.10 	5%	 $10.55 	Skyler Jackson
ORD-100047	CUST-10135	02.05.2024		Apex Holdings	IT		Office Supplies	Cleaning	SKU-Y3143	Low	New	2-Day	1	 $29.64 	 $41.50 	0%	 $41.50 	Jamie Young
ORD-100048	CUST-10036	06.08.2025		Blue Ridge Associates	IT	Central	Software	Services	SKU-R9698	High	New	Overnight	5	 $21.56 	 $31.26 	15%	 $132.86 	Finley White
ORD-100049	CUST-10014	16.11.2024	19.11.2024	Redwood Partners	Finance	East	Hardware	Services	SKU-E4111	Medium	Fulfilled	2-Day	1	 $27.52 	 $34.40 	5%	 $32.68 	Morgan Brown
ORD-100050	CUST-10162	21.09.2025		Vertex Systems	Operations	Central	Office Supplies	Services	SKU-D5061	Low	Approved	Ground	20	 $26.08 	 $35.21 	10%	 $633.78 	Skyler Jackson
ORD-100051	CUST-10003	18.01.2026		Blue Ridge Group	IT		Software	Hardware	SKU-I7484	Medium	New	Ground	5	 $26.96 	 $37.74 	15%	 $160.40 	Taylor Brown
ORD-100052	CUST-10079	19.08.2024		Crescent Enterprises	HR	East	Office Supplies	Cleaning	SKU-Y1916	Medium	Approved	Ground	3	 $18.99 	 $25.64 	0%	 $76.92 	Reese Lee
ORD-100053	CUST-10186	24.10.2024	30.10.2024	 Canyon Logistics  	Sales	West	Hardware	Paper & Printing	SKU-N9565	Medium	Delayed	2-Day	3	 $36.82 	 $47.87 	0%	 $143.61 	Jamie Johnson
ORD-100054	CUST-10103	11.07.2024		Riverbend Consulting	Finance	West	Office Supplies	Paper & Printing	SKU-Y4404	Medium	New	Ground	1	 $8.54 	 $10.67 	10%	 $9.60 	Jordan Lee
ORD-100055	CUST-10093	22.06.2024	23.06.2024	Crescent Solutions	Marketing	East	Hardware	Tech Accessories	SKU-X8777	High	Fulfilled	Overnight	10	 $24.05 	 $31.27 	10%	 $281.43 	Skyler Clark
ORD-100056	CUST-10169	31.08.2025	02.09.2025	Northstar Consulting	Finance		Hardware	Services	SKU-O8136	High	Fulfilled	Pickup	5	 $16.67 	 $22.50 	5%	 $106.88 	Blake Patel
ORD-100057	CUST-10121	14.07.2025	16.07.2025	Bright Enterprises	Marketing	West	Office Supplies	Software	SKU-E6718	Medium	Fulfilled	Overnight	5	 $20.79 	 $28.07 	5%	 $133.33 	Sawyer Allen
ORD-100058	CUST-10069	09.11.2025	11.11.2025	Silverline Associates	Sales	West	Hardware	Tech Accessories	SKU-O9900	High	Fulfilled	Ground	12	 $10.88 	 $15.78 	10%	 $170.42 	Skyler Clark
ORD-100059	CUST-10027	16.10.2024		Crescent Services	Operations	East	Office Supplies	Ergonomics	SKU-U9856	High	Approved	2-Day	10	 $13.71 	 $17.82 	0%	 $178.20 	Cameron Robinson
ORD-100060	CUST-10041	23.02.2025	24.02.2025	Redwood Partners	Finance	Central	Hardware	Software	SKU-J4450	Low	Fulfilled	Pickup	5	 $19.04 	 $25.70 	0%	 $128.50 	Taylor Brown
ORD-100061	CUST-10028	14.01.2024	19.01.2024	Pioneer Associates	Procurement	West	Hardware	Hardware	SKU-R3167	Medium	Delayed	Ground	1	 $17.63 	 $22.92 	15%	 $19.48 	Jamie Anderson
ORD-100062	CUST-10116	21.10.2025	27.10.2025	Crescent Foundation	IT	Central	Office Supplies	Hardware	SKU-W2139	High	Fulfilled	Ground	10	 $37.42 	 $50.52 	0%	 $505.20 	Avery Thomas
ORD-100063	CUST-10024	12.03.2025	20.03.2025	Redwood Systems	Procurement	West	Software	Paper & Printing	SKU-V4824	High	Fulfilled	2-Day	10	 $95.09 	 $133.13 	0%	 $1’331.30 	Avery Thomas
ORD-100064	CUST-10187	28.09.2025		Summit Associates	Finance	Central	Office Supplies	Cleaning	SKU-D5808	Medium	New	Pickup	5	 $14.89 	 $20.85 	5%	 $99.04 	Blake Martinez
ORD-100065	CUST-10107	29.01.2025		Harbor Foundation	Marketing	Central	Software	Tech Accessories	SKU-V8787	High	New	Ground	2	 $11.21 	 $15.13 	0%	 $30.26 	Jamie Anderson
ORD-100066	CUST-10123	02.03.2025	05.03.2025	Pioneer Holdings	Procurement	West	Hardware	Ergonomics	SKU-D2232	Medium	Fulfilled	Overnight	2	 $9.30 	 $12.56 	10%	 $22.61 	Sawyer Garcia
ORD-100067	CUST-10028	09.05.2025	18.05.2025	Pioneer Associates	Operations	West	Office Supplies	Cleaning	SKU-D5808	High	Fulfilled	Ground	12	 $14.89 	 $20.85 	15%	 $212.67 	Sawyer Allen
ORD-100068	CUST-10185	31.01.2026	04.02.2026	Cobalt Holdings	Sales	East	Office Supplies	Tech Accessories	SKU-J2771	Low	Fulfilled	Ground	12	 $29.39 	 $39.68 	5%	 $452.35 	Sawyer Allen
ORD-100069	CUST-10169	08.05.2025	11.05.2025	Northstar Consulting	Marketing		Hardware	Hardware	SKU-L8066	High	Fulfilled	Ground	1	 $18.85 	 $27.33 	0%	 $27.33 	Cameron Garcia
ORD-100070	CUST-10126	01.06.2025		Riverbend Foundation	Procurement	Central	Office Supplies	Software	SKU-N8956	Low	Approved	Overnight	20	 $8.22 	 $11.10 	0%	 $222.00 	Sawyer Lee
ORD-100071	CUST-10140	03.06.2025		Canyon Enterprises	Marketing	West	Office Supplies	Cleaning	SKU-L4432	Low	New	Pickup	1	 $33.06 	 $47.94 	10%	 $43.15 	Emerson Martinez
ORD-100072	CUST-10114	31.03.2024	01.04.2024	Cobalt Enterprises	IT	Central	Office Supplies	Hardware	SKU-E1400	Medium	Fulfilled	Ground	3	 $42.60 	 $59.64 	5%	 $169.97 	Jamie Young
ORD-100073	CUST-10000	24.07.2025	28.07.2025	Vertex Associates	Procurement	West	Office Supplies	Software	SKU-Z4728	Medium	Fulfilled	Overnight	2	 $40.94 	 $53.22 	10%	 $95.80 	Casey Brown
ORD-100074	CUST-10087	01.11.2025	11.11.2025	Cobalt Holdings	IT	West	Software	Hardware	SKU-G8933	Low	Fulfilled	Overnight	1	 $20.32 	 $25.40 	10%	 $22.86 	Skyler Clark
ORD-100075	CUST-10093	29.04.2025	04.05.2025	Crescent Solutions	Marketing	East	Hardware	Paper & Printing	SKU-S7912	High	Fulfilled	Ground	1	 $22.74 	 $28.42 	0%	 $28.42 	Avery Thomas
ORD-100076	CUST-10095	14.07.2025	24.07.2025	 Blue Ridge Services  	Marketing	East	Office Supplies	Breakroom	SKU-S4114	Low	Fulfilled	Pickup	5	 $41.95 	 $58.73 	0%	 $293.65 	Blake Martinez
ORD-100077	CUST-10030	19.07.2024	20.07.2024	Pioneer Group	Procurement	Central	Office Supplies	Tech Accessories	SKU-L3646	Medium	Fulfilled	Overnight	10	 $54.93 	 $79.65 	0%	 $796.50 	Jamie Young
ORD-100078	CUST-10031	10.10.2025	19.10.2025	Canyon Consulting	Procurement	Central	Software	Tech Accessories	SKU-O9900	Medium	Fulfilled	2-Day	1	 $10.88 	 $15.78 	5%	 $14.99 	Sawyer Garcia
ORD-100079	CUST-10141	23.01.2026	26.01.2026	Crescent Associates	Operations	West	Software	Software	SKU-H6912	Medium	Fulfilled	2-Day	5	 $15.78 	 $19.72 	15%	 $83.81 	Sawyer Patel
ORD-100080	CUST-10026	18.01.2026		Crescent Industries	Operations	East	Hardware	Services	SKU-B5082	Medium	Approved	Pickup	12	 $29.93 	 $38.91 	5%	 $443.57 	Skyler Clark
ORD-100081	CUST-10070	10.12.2025	20.12.2025	Redwood Enterprises	Operations	West	Services	Hardware	SKU-L8066	Low	Fulfilled	2-Day	2	 $18.85 	 $27.33 	0%	 $54.66 	Jamie Young
ORD-100082	CUST-10076	17.12.2025	27.12.2025	Blue Ridge Systems	Procurement	West	Software	Breakroom	SKU-O1887	Low	Fulfilled	2-Day	1	 $17.62 	 $24.67 	0%	 $24.67 	Skyler Jackson
ORD-100083	CUST-10175	01.01.2026	07.01.2026	Cobalt Logistics	IT	East	Services	Software	SKU-H6912	High	Fulfilled	2-Day	5	 $15.78 	 $19.72 	10%	 $88.74 	Casey Brown
ORD-100084	CUST-10194	28.12.2025	02.01.2026	Summit Enterprises	IT		Hardware	Tech Accessories	SKU-I8579	Medium	Delayed	Pickup	12	 $24.35 	 $34.09 	15%	 $347.72 	Casey Brown
ORD-100085	CUST-10133	08.03.2025	13.03.2025	Bright Group	Finance	Central	Office Supplies	Paper & Printing	SKU-Y4404	High	Fulfilled	2-Day	2	 $8.54 	 $10.67 	0%	 $21.34 	Finley White
ORD-100086	CUST-10037	30.11.2025		Harbor Consulting	Procurement	East	Office Supplies	Software	SKU-M6363	Low	Approved	Ground	5	 $55.30 	 $74.66 	0%	 $373.30 	Emerson Martinez
ORD-100087	CUST-10172	14.04.2024	19.04.2024	Crescent Consulting	Marketing	West	Hardware	Services	SKU-O8136	Medium	Fulfilled	Pickup	1	 $16.67 	 $22.50 	0%	 $22.50 	Jordan Lee
ORD-100088	CUST-10097	10.12.2025	14.12.2025	Redwood Foundation	Operations	East	Office Supplies	Breakroom	SKU-V3851	Low	Fulfilled	Ground	2	 $12.71 	 $17.79 	0%	 $35.58 	Blake Martinez
ORD-100089	CUST-10057	27.09.2025	02.10.2025	Silverline Systems	Marketing	Central	Software	Paper & Printing	SKU-B6413	Medium	Fulfilled	2-Day	1	 $30.16 	 $40.72 	15%	 $34.61 	Skyler Jackson
ORD-100090	CUST-10174	04.04.2025	09.04.2025	 Silverline Foundation  	Finance	West	Office Supplies	Tech Accessories	SKU-Z7916	High	Fulfilled	Pickup	20	 $14.05 	 $19.67 	0%	 $393.40 	Jamie Young
ORD-100091	CUST-10033	23.07.2025		Harbor Enterprises	HR	West	Hardware	Cleaning	SKU-J7389	Medium	Approved	2-Day	3	 $25.80 	 $36.12 	0%	 $108.36 	Taylor Smith
ORD-100092	CUST-10013	26.11.2024	02.12.2024	Cobalt Consulting	Procurement	East	Services	Paper & Printing	SKU-E5333	Medium	Fulfilled	Pickup	3	 $16.51 	 $23.94 	10%	 $64.64 	Casey Brown
ORD-100093	CUST-10134	15.03.2024	24.03.2024	Harbor Industries	HR	East	Services	Tech Accessories	SKU-P9502	Medium	Fulfilled	2-Day	1	 $37.10 	 $48.23 	5%	 $45.82 	Casey Brown
ORD-100094	CUST-10089	17.02.2025		Bright Enterprises	HR	Central	Software	Services	SKU-R9698	Medium	Approved	Overnight	5	 $21.56 	 $31.26 	0%	 $156.30 	Skyler Clark
ORD-100095	CUST-10143	27.06.2025		Cobalt Foundation	Procurement	West	Software	Hardware	SKU-S4608	Medium	New	Overnight	10	 $13.03 	 $16.29 	5%	 $154.76 	Taylor Brown
ORD-100096	CUST-10159	19.10.2025		Pioneer Systems	HR	East	Services	Software	SKU-X8019	Medium	Approved	Ground	5	 $9.50 	 $12.83 	5%	 $60.94 	Blake Martinez
ORD-100097	CUST-10006	07.07.2025	12.07.2025	Blue Ridge Services	Sales	East	Software	Software	SKU-J4450	Medium	Fulfilled	Pickup	3	 $19.04 	 $25.70 	5%	 $73.25 	Sawyer Lee
ORD-100098	CUST-10082	29.10.2025		Riverbend Enterprises	Sales	East	Office Supplies	Paper & Printing	SKU-H4139	High	Cancelled	Ground	3	 $67.95 	 $88.34 	15%	 $225.27 	Morgan Brown
ORD-100099	CUST-10198	03.08.2024		Pioneer Foundation	HR	West	Software	Software	SKU-Q6491	Medium	New	Pickup	12	 $23.58 	 $31.83 	15%	 $324.67 	Morgan Brown
ORD-100100	CUST-10006	03.12.2025		Blue Ridge Services	Operations	East	Software	Paper & Printing	SKU-H4139	High	New	2-Day	5	 $67.95 	 $88.34 	0%	 $441.70 	Casey Brown
ORD-100101	CUST-10058	13.03.2024		Vertex Partners	IT	West	Office Supplies	Ergonomics	SKU-D2232	Medium	Approved	Overnight	3	 $9.30 	 $12.56 	0%	 $37.68 	Blake Patel
ORD-100102	CUST-10136	20.11.2025	26.11.2025	Vertex Systems	Finance	Central	Hardware	Cleaning	SKU-Y8251	Medium	Fulfilled	Ground	3	 $57.16 	 $82.88 	15%	 $211.34 	Morgan Brown
ORD-100103	CUST-10074	29.05.2025		Crescent Solutions	Procurement	Central	Hardware	Tech Accessories	SKU-U1090	Medium	Approved	Pickup	10	 $17.20 	 $22.36 	5%	 $212.42 	Blake Patel
ORD-100104	CUST-10121	07.11.2025		Bright Enterprises	HR	West	Hardware	Software	SKU-B2512	High	Approved	Overnight	10	 $43.88 	 $54.85 	15%	 $466.23 	Taylor Smith
ORD-100105	CUST-10095	01.11.2024		 Blue Ridge Services  	Finance	East	Hardware	Services	SKU-W5982	Medium	New	Ground	1	 $24.07 	 $34.90 	10%	 $31.41 	Skyler Clark
ORD-100106	CUST-10140	07.02.2025	16.02.2025	Canyon Enterprises	Finance	West	Office Supplies	Cleaning	SKU-Z5232	Medium	Delayed	Overnight	20	 $10.97 	 $15.91 	0%	 $318.20 	Jamie Young
ORD-100107	CUST-10047	25.05.2024		Silverline Holdings	HR	Central	Hardware	Tech Accessories	SKU-Z6039	Medium	New	Ground	3	 $28.96 	 $40.54 	10%	 $109.46 	Emerson Martinez
ORD-100108	CUST-10018	22.10.2025		Vertex Industries	IT	Central	Hardware	Hardware	SKU-S2290	Medium	Approved	Pickup	5	 $25.46 	 $31.83 	0%	 $159.15 	Avery Thomas
ORD-100109	CUST-10060	11.05.2024		Apex Systems	Finance	East	Office Supplies	Ergonomics	SKU-Q2312	High	Approved	Pickup	10	 $11.82 	 $17.14 	5%	 $162.83 	Jordan White
ORD-100110	CUST-10177	23.09.2025	29.09.2025	Summit Foundation	Sales	West	Office Supplies	Paper & Printing	SKU-N9565	Medium	Fulfilled	Pickup	1	 $36.82 	 $47.87 	0%	 $47.87 	Sawyer Garcia
ORD-100111	CUST-10182	09.09.2024		Blue Ridge Partners	Marketing	Central	Hardware	Paper & Printing	SKU-X5920	Medium	Approved	Overnight	5	 $22.15 	 $31.01 	5%	 $147.30 	Emerson Martinez
ORD-100112	CUST-10198	01.04.2025	10.04.2025	Pioneer Foundation	IT	West	Hardware	Paper & Printing	SKU-I8385	High	Fulfilled	Ground	3	 $20.49 	 $29.71 	0%	 $89.13 	Taylor Smith
ORD-100113	CUST-10187	20.07.2024		Summit Associates	Marketing	Central	Office Supplies	Paper & Printing	SKU-M2291	High	New	Ground	1	 $58.47 	 $84.78 	10%	 $76.30 	Sawyer Patel
ORD-100114	CUST-10054	18.02.2025		Harbor Systems	Finance	East	Hardware	Paper & Printing	SKU-E5333	Medium	Cancelled	Pickup	2	 $16.51 	 $23.94 	15%	 $40.70 	Taylor Smith
ORD-100115	CUST-10057	09.01.2025		Silverline Systems	Procurement	Central	Hardware	Services	SKU-O8136	Low	New	Ground	2	 $16.67 	 $22.50 	5%	 $42.75 	Avery Thomas
ORD-100116	CUST-10169	29.05.2025	06.06.2025	Northstar Consulting	HR		Software	Hardware	SKU-Q1434	Low	Fulfilled	2-Day	12	 $35.03 	 $50.79 	10%	 $548.53 	Taylor Smith
ORD-100117	CUST-10144	12.06.2024	16.06.2024	Silverline Solutions	Sales	East	Hardware	Tech Accessories	SKU-O3091	Low	Fulfilled	Pickup	3	 $21.74 	 $30.44 	0%	 $91.32 	Sawyer Lee
ORD-100118	CUST-10016	14.05.2025		Crescent Industries	IT	East	Office Supplies	Hardware	SKU-R4295	High	Approved	Overnight	5	 $18.18 	 $24.54 	5%	 $116.57 	Jamie Johnson
ORD-100119	CUST-10010	10.04.2025	20.04.2025	Silverline Industries	Marketing	Central	Office Supplies	Breakroom	SKU-A7396	Medium	Fulfilled	Overnight	1	 $12.54 	 $16.93 	15%	 $14.39 	Blake Martinez
ORD-100120	CUST-10044	11.07.2025	18.07.2025	Pioneer Logistics	Operations	Central	Hardware	Services	SKU-E4111	Medium	Fulfilled	Ground	3	 $27.52 	 $34.40 	10%	 $92.88 	Blake Martinez
ORD-100121	CUST-10103	16.08.2024	24.08.2024	Riverbend Consulting	IT	West	Software	Hardware	SKU-A3496	Medium	Fulfilled	Ground	3	 $18.62 	 $26.07 	10%	 $70.39 	Taylor Smith
ORD-100122	CUST-10019	18.06.2024		Crescent Holdings	Sales		Hardware	Tech Accessories	SKU-U1090	Medium	Approved	Overnight	3	 $17.20 	 $22.36 	10%	 $60.37 	Cameron Robinson
ORD-100123	CUST-10106	01.05.2024	04.05.2024	Pioneer Associates	Procurement	West	Office Supplies	Hardware	SKU-W8800	High	Fulfilled	Pickup	2	 $28.32 	 $35.40 	0%	 $70.80 	Sawyer Patel
ORD-100124	CUST-10005	24.10.2025		Northstar Associates	HR	West	Office Supplies	Paper & Printing	SKU-X4155	Medium	New	Ground	12	 $19.47 	 $28.23 	10%	 $304.88 	Taylor Smith
ORD-100125	CUST-10066	27.02.2024		Cobalt Partners	HR	East	Hardware	Software	SKU-Q6491	Medium	Cancelled	Ground	2	 $23.58 	 $31.83 	15%	 $54.11 	Sawyer Allen
ORD-100126	CUST-10055	17.10.2024	20.10.2024	Bright Logistics	Operations	East	Hardware	Software	SKU-B1893	Medium	Fulfilled	2-Day	10	 $22.45 	 $29.18 	5%	 $277.21 	Skyler Clark
ORD-100127	CUST-10159	19.08.2025	21.08.2025	Pioneer Systems	Marketing	East	Hardware	Cleaning	SKU-Z7745	High	Fulfilled	Pickup	2	 $34.34 	 $44.64 	10%	 $80.35 	Sawyer Patel
ORD-100128	CUST-10098	23.08.2024	25.08.2024	Apex Systems	HR	East	Office Supplies	Breakroom	SKU-G2545	Medium	Fulfilled	Pickup	1	 $20.90 	 $28.21 	0%	 $28.21 	Skyler Clark
